Id,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,SecError,LatError,LonError,DepError,LocCode,MagSize,MagError,MagType,MagCode,Log
17145997,2010,1,8,3,31,57.97,17.4245,40.2848,10.0,2.16,None,None,None,ISC,2.8,0.2,MS,IDC,
14753673,2010,1,8,7,52,45.29,36.4046,22.1017,10.1,1.17,None,None,8.13,ISC,2.2,0.3,ML,IDC,
16111434,2010,1,8,13,46,30.35,33.9856,25.471,17.0,0.66,None,None,None,ISC,2.4,0.5,ML,IDC,
14753685,2010,1,8,21,6,30.17,35.9129,21.5994,8.0,1.58,None,None,10.2,ISC,3.1,0.3,ML,IDC,
14286072,2010,1,9,6,4,15.35,38.3407,21.7479,8.8,0.71,None,None,4.65,ISC,3.6,0.2,ML,IDC,
14222328,2010,1,9,14,24,37.44,39.4169,14.681,10.9,1.19,None,None,8.71,ISC,3.3,0.1,MS,ISC,
14224559,2010,1,9,17,32,9.93,35.2346,27.8883,15.5,1.17,None,None,8.4,ISC,3.5,0.1,ML,IDC,
14619598,2010,1,9,19,20,0.73,26.9194,53.6028,10.0,0.49,None,None,None,ISC,3.4,0.3,ML,IDC,
16111517,2010,1,9,20,25,27.32,-31.7671,57.6142,11.0,0.61,None,None,None,ISC,3.8,0.3,ML,IDC,
17146087,2010,1,9,20,28,11.65,-32.1108,57.4938,11.0,2.67,None,None,None,ISC,3.8,0.3,ML,IDC,
16111520,2010,1,9,20,34,41.14,14.2998,40.0274,11.1,3.24,None,None,22.0,ISC,3.4,0.3,MS,ISC,
14286079,2010,1,10,6,52,23.9,35.6754,48.9836,4.9,1.12,None,None,8.55,ISC,2.8,0.3,MS,ISC,
16111554,2010,1,10,12,4,4.95,35.0577,23.6384,66.6,1.52,None,None,7.35,ISC,3.6,0.3,ML,IDC,
14223243,2010,1,10,15,20,34.32,27.1028,55.5934,12.0,0.35,None,None,None,ISC,3.5,0.1,MS,ISC,
14223247,2010,1,10,17,17,49.91,27.1364,55.5561,13.9,0.46,None,None,2.87,ISC,3.3,0.1,MS,ISC,
15623391,2010,1,11,3,39,39.65,-4.1116,34.8913,22.0,0.44,None,None,None,ISC,3.5,0.1,MS,ISC,
17146157,2010,1,11,18,39,19.43,22.5852,-11.6224,10.0,1.6,None,None,None,ISC,3.5,0.3,ML,IDC,
14753724,2010,1,12,4,25,28.31,38.2913,22.182,62.0,0.7,None,None,3.98,ISC,3.2,0.3,ML,IDC,
14286090,2010,1,12,4,44,5.44,11.8172,43.299,11.6,0.77,None,None,4.82,ISC,4.1,0.1,MS,ISC,
14226214,2010,1,12,17,40,13.49,-37.2073,52.0899,10.0,0.34,None,None,None,ISC,4.1,0.1,MS,ISC,
14226226,2010,1,12,23,14,37.01,-13.7553,34.4926,28.0,0.31,None,None,None,ISC,4.6,0.5,ML,IDC,
14753742,2010,1,13,10,9,28.53,34.1798,25.4268,77.2,1.58,None,None,12.3,ISC,3.8,0.1,ML,IDC,
14227216,2010,1,13,10,22,15.12,26.866,53.5652,18.6,0.46,None,None,1.6,ISC,3.9,0.3,MS,ISC,
15623610,2010,1,13,15,52,26.83,28.2338,56.3042,10.0,0.52,None,None,None,ISC,3.6,0.3,ML,IDC,
16111771,2010,1,14,0,51,59.98,29.6704,50.4068,25.0,0.58,None,None,None,ISC,2.9,0.2,MS,IDC,
14227625,2010,1,14,4,25,9.81,39.2505,22.2168,90.4,0.35,None,None,2.9,ISC,2.8,0.2,MS,IDC,
14248666,2010,1,15,8,29,0.32,34.2647,26.1339,32.0,0.45,None,None,None,ISC,3.1,0.3,MS,ISC,
14753768,2010,1,15,9,37,42.37,37.8691,21.167,30.4,0.79,None,None,5.19,ISC,2.9,0.3,ML,IDC,
14234790,2010,1,16,1,27,17.62,37.5374,48.4712,10.0,0.49,None,None,None,ISC,3.2,0.1,MS,ISC,
14238675,2010,1,16,6,8,49.78,38.9443,21.1902,23.7,0.61,None,None,5.83,ISC,4.1,0.3,ML,IDC,
14237520,2010,1,16,20,23,36.1,32.5124,48.3679,10.0,0.18,None,None,None,ISC,4.5,0.1,MS,ISC,
14237522,2010,1,16,21,26,19.02,32.4633,48.2658,26.0,0.78,None,None,5.97,ISC,3.2,0.2,MS,IDC,
14237539,2010,1,17,9,34,19.44,32.5331,48.2361,10.0,0.32,None,None,None,ISC,3.5,0.1,MS,ISC,
14237544,2010,1,17,11,17,37.93,36.3289,4.0002,19.5,0.55,None,None,2.67,ISC,3.4,0.3,ML,IDC,
16620023,2010,1,17,20,16,5.8,35.2982,27.7683,26.8,0.33,None,None,2.05,ISC,4.9,None,MW,GCMT,
14329109,2010,1,17,20,59,9.16,35.2831,27.8331,28.2,1.17,None,None,9.49,ISC,3.3,0.0,MS,ISC,
14238385,2010,1,17,21,37,4.39,35.2706,27.796,29.8,1.11,None,None,9.43,ISC,3.0,0.1,MS,IDC,
14238386,2010,1,17,22,16,3.98,34.424,32.184,9.9,1.57,None,None,10.6,ISC,3.7,0.1,ML,IDC,
14620057,2010,1,18,0,43,9.94,35.456,27.14,26.6,1.01,None,None,9.46,ISC,3.3,0.2,ML,IDC,
14620058,2010,1,18,1,26,35.27,35.2508,27.7607,2.7,1.41,None,None,10.4,ISC,3.4,0.3,ML,IDC,
14267820,2010,1,18,3,13,41.88,32.4638,47.0637,18.3,0.93,None,None,4.32,ISC,3.0,0.2,MS,IDC,
14620059,2010,1,18,5,19,51.23,37.1258,30.9668,46.9,0.5,None,None,7.38,ISC,3.4,0.2,MS,IDC,
17146442,2010,1,18,13,55,39.62,-0.2133,-18.8174,10.0,1.3,None,None,None,ISC,3.9,0.2,MS,ISC,
14620060,2010,1,18,14,25,0.77,35.2651,27.8396,48.1,0.52,None,None,6.18,ISC,3.4,0.1,MS,IDC,
16246342,2010,1,18,15,56,10.19,38.4123,21.9478,7.7,0.41,None,None,2.5,ISC,5.5,None,MW,GCMT,
17593854,2010,1,18,16,16,15.04,38.4111,21.9814,6.8,0.86,None,None,6.4,ISC,2.9,0.2,ML,IDC,
14238705,2010,1,18,16,29,5.33,38.422,22.011,9.8,0.71,None,None,4.77,ISC,3.4,0.1,ML,IDC,
14753814,2010,1,18,16,59,7.59,38.4205,22.0065,7.7,0.79,None,None,5.49,ISC,2.8,0.2,ML,IDC,
14329120,2010,1,18,17,10,14.31,38.4256,21.9914,7.6,0.79,None,None,5.51,ISC,3.2,0.2,ML,IDC,
14329121,2010,1,18,17,20,11.93,38.4025,21.9993,8.7,0.77,None,None,5.26,ISC,2.9,0.1,ML,IDC,
14286127,2010,1,18,17,27,7.02,38.4416,21.9721,8.7,0.69,None,None,4.47,ISC,3.5,0.1,ML,IDC,
14753819,2010,1,18,17,35,37.14,38.4562,21.974,2.7,0.94,None,None,7.44,ISC,2.9,0.3,ML,IDC,
14239191,2010,1,18,20,36,56.64,38.4324,21.9862,10.0,0.62,None,None,3.96,ISC,3.5,0.3,MS,ISC,
14753865,2010,1,18,23,12,5.2,38.4114,21.955,7.6,0.75,None,None,4.48,ISC,3.8,0.2,MS,IDC,
14286128,2010,1,18,23,17,54.9,38.4124,21.9712,6.6,0.72,None,None,4.57,ISC,2.8,0.2,ML,IDC,
14753897,2010,1,19,3,34,19.79,38.4376,21.9567,3.8,0.8,None,None,5.66,ISC,3.1,0.3,ML,IDC,
16112013,2010,1,19,3,35,10.06,38.4247,21.9988,10.4,0.91,None,None,6.54,ISC,3.0,0.3,ML,IDC,
14753898,2010,1,19,3,37,20.58,38.4278,21.9807,7.0,0.79,None,None,5.25,ISC,2.7,0.1,ML,IDC,
16112016,2010,1,19,3,37,46.09,38.4286,22.0008,10.5,0.85,None,None,6.34,ISC,2.8,0.3,ML,IDC,
14329140,2010,1,19,3,45,56.13,38.4461,22.0074,6.0,0.8,None,None,5.67,ISC,3.1,0.4,ML,IDC,
16112017,2010,1,19,3,50,55.38,38.4316,21.9013,14.1,0.9,None,None,7.33,ISC,2.8,0.2,ML,IDC,
16112038,2010,1,19,15,3,58.01,34.0394,25.6787,17.0,0.68,None,None,None,ISC,3.9,0.3,ML,IDC,
14240779,2010,1,19,18,49,14.26,29.6213,51.4477,10.0,0.34,None,None,None,ISC,3.4,0.2,ML,IDC,
14753945,2010,1,19,21,35,17.52,38.2876,22.1346,9.7,0.74,None,None,4.89,ISC,2.8,0.1,ML,IDC,
16112053,2010,1,19,22,51,16.1,34.1778,25.5594,37.9,1.14,None,None,2.66,ISC,2.6,0.2,MS,IDC,
14258862,2010,1,20,5,20,8.01,35.8034,52.8023,11.1,0.47,None,None,3.08,ISC,3.4,0.2,MS,ISC,
14267821,2010,1,20,5,26,23.41,35.7862,52.841,3.8,1.03,None,None,7.82,ISC,3.1,0.2,MS,IDC,
14753983,2010,1,20,7,32,37.09,38.4048,21.9874,8.0,0.74,None,None,4.62,ISC,3.3,0.3,MS,IDC,
14242059,2010,1,20,9,53,10.32,35.3152,9.2973,10.0,0.61,None,None,None,ISC,3.2,0.1,MS,IDC,
16112086,2010,1,20,10,42,55.46,35.3209,23.3988,24.0,0.6,None,None,None,ISC,2.9,0.2,MS,IDC,
14245436,2010,1,20,16,55,18.12,37.1667,22.1301,7.0,0.51,None,None,3.38,ISC,3.2,0.4,MS,ISC,
17146537,2010,1,20,18,39,29.76,22.4061,-10.9935,10.0,5.52,None,None,None,ISC,3.7,0.2,MS,IDC,
16112107,2010,1,20,20,27,49.59,34.3245,26.5242,33.0,0.77,None,None,None,ISC,3.1,0.2,MS,IDC,
14866598,2010,1,21,9,51,12.77,38.3223,20.8516,45.6,0.52,None,None,4.98,ISC,3.1,0.1,MS,IDC,
14329157,2010,1,21,13,42,55.66,38.3989,21.997,8.7,0.73,None,None,4.54,ISC,2.9,0.2,MS,IDC,
14248251,2010,1,21,16,57,4.66,34.7985,-5.7031,12.9,0.67,None,None,4.46,ISC,3.1,0.3,MS,IDC,
14248396,2010,1,21,22,53,23.47,-27.8862,26.697,3.2,1.17,None,None,8.86,ISC,3.7,0.1,ML,IDC,
14248397,2010,1,22,0,46,57.9,38.4146,21.9939,11.8,0.31,None,None,1.68,ISC,5.4,None,MW,GCMT,
16112154,2010,1,22,0,50,12.98,38.4233,21.986,6.8,0.75,None,None,5.01,ISC,3.4,0.2,ML,IDC,
17146576,2010,1,22,0,50,34.17,38.4358,21.9855,13.6,0.71,None,None,4.3,ISC,4.8,0.2,MS,ISC,
14754099,2010,1,22,0,57,1.84,38.4046,21.9521,9.4,0.68,None,None,4.25,ISC,3.2,0.1,ML,IDC,
14286144,2010,1,22,1,20,15.41,38.4376,21.9819,10.1,0.69,None,None,4.34,ISC,3.2,0.2,ML,IDC,
14286145,2010,1,22,1,27,15.39,38.42,21.9533,8.4,0.67,None,None,4.15,ISC,3.3,0.0,ML,IDC,
14754106,2010,1,22,1,53,1.62,38.4164,21.9565,8.2,0.75,None,None,4.44,ISC,4.0,0.0,MS,IDC,
14754116,2010,1,22,2,58,40.42,38.4308,21.9736,4.2,0.83,None,None,6.09,ISC,2.9,0.3,ML,IDC,
14286146,2010,1,22,3,9,33.4,38.4361,21.9837,8.9,0.71,None,None,4.57,ISC,3.1,0.1,ML,IDC,
14286147,2010,1,22,3,43,57.33,38.4454,21.9446,7.4,0.71,None,None,4.37,ISC,2.8,0.2,MS,IDC,
14286148,2010,1,22,4,37,36.25,38.4363,21.9804,7.2,0.69,None,None,4.55,ISC,2.9,0.2,MS,IDC,
16112174,2010,1,22,4,43,12.14,35.6791,57.6736,10.0,0.59,None,None,None,ISC,3.1,0.0,MS,IDC,
14754126,2010,1,22,4,43,38.99,38.4284,21.9786,5.5,0.78,None,None,5.24,ISC,2.9,0.1,ML,IDC,
14754143,2010,1,22,7,30,9.22,38.4451,21.9553,7.7,0.74,None,None,4.69,ISC,3.2,0.3,ML,IDC,
14286149,2010,1,22,8,19,50.32,38.4436,21.9794,6.9,0.74,None,None,4.78,ISC,3.1,0.2,MS,IDC,
14286151,2010,1,22,9,43,11.44,38.3968,21.9981,7.6,0.77,None,None,5.25,ISC,3.0,0.2,MS,IDC,
14248863,2010,1,22,10,53,33.42,38.4081,21.9173,11.2,0.45,None,None,2.71,ISC,4.5,0.1,MS,ISC,
14866677,2010,1,22,10,59,16.79,38.3981,21.9337,13.0,0.33,None,None,1.85,ISC,3.7,0.3,MS,ISC,
14754171,2010,1,22,12,42,35.15,38.4211,21.9959,11.1,0.7,None,None,4.21,ISC,3.0,0.2,ML,IDC,
14286154,2010,1,22,18,14,18.49,38.4443,21.9885,6.3,0.74,None,None,5.05,ISC,3.2,0.1,MS,ISC,
14249324,2010,1,22,19,1,46.52,34.8375,-5.7356,25.0,0.75,None,None,5.46,ISC,3.6,0.2,ML,IDC,
14249328,2010,1,23,0,29,8.85,32.6964,-3.1803,10.0,0.85,None,None,None,ISC,3.4,0.2,ML,IDC,
17146631,2010,1,23,5,15,8.6,28.3258,52.9565,16.0,2.35,None,None,None,ISC,3.2,0.3,ML,IDC,
14259267,2010,1,23,8,37,3.22,35.5959,26.3274,50.7,0.59,None,None,7.97,ISC,2.3,0.2,MS,IDC,
14270011,2010,1,23,9,16,3.1,34.1999,8.5158,10.0,0.9,None,None,None,ISC,3.3,0.3,MS,IDC,
16112259,2010,1,24,0,55,22.01,34.952,25.6062,11.3,1.18,None,None,8.14,ISC,3.3,0.3,ML,IDC,
14252156,2010,1,24,1,2,10.2,-31.8278,57.763,14.9,0.42,None,None,2.07,ISC,5.0,None,MW,GCMT,
14754249,2010,1,24,5,58,28.33,34.9411,25.6089,5.2,1.23,None,None,9.18,ISC,4.1,0.5,MS,IDC,
14252929,2010,1,24,13,18,15.32,39.3573,21.4527,15.4,0.82,None,None,5.37,ISC,3.5,0.4,MS,ISC,
14754263,2010,1,24,18,53,49.02,35.0394,26.865,5.2,1.23,None,None,8.64,ISC,3.4,0.2,MS,IDC,
14259284,2010,1,24,18,58,21.5,35.0738,26.8174,14.3,1.1,None,None,7.3,ISC,4.5,0.1,MS,IDC,
14620487,2010,1,24,19,59,55.07,37.5514,35.635,11.9,0.83,None,None,6.21,ISC,3.5,0.2,ML,IDC,
14754269,2010,1,25,1,10,18.56,38.8471,26.9071,13.4,0.95,None,None,7.09,ISC,2.8,0.2,MS,IDC,
14252314,2010,1,25,8,50,13.73,37.7297,20.8495,17.7,1.03,None,None,6.01,ISC,2.5,0.2,MS,IDC,
16112363,2010,1,26,0,30,3.62,-30.054,-13.8253,10.0,1.11,None,None,None,ISC,3.8,0.1,MS,ISC,
14620612,2010,1,26,1,52,23.82,35.762,52.7303,2.8,0.93,None,None,8.29,ISC,2.9,0.3,ML,IDC,
17146750,2010,1,26,2,55,35.3,-29.8858,-13.7448,10.0,1.09,None,None,None,ISC,3.7,0.1,MS,ISC,
14259579,2010,1,26,3,17,1.07,30.7881,56.9436,10.0,0.38,None,None,None,ISC,3.2,0.3,MS,ISC,
14754335,2010,1,26,11,24,41.42,37.8716,21.074,19.6,0.69,None,None,2.68,ISC,3.0,0.2,ML,IDC,
14259679,2010,1,26,13,31,15.3,35.1176,26.7961,19.1,0.48,None,None,1.71,ISC,3.7,0.1,MS,ISC,
14254087,2010,1,26,15,22,6.38,-39.164,-15.8128,10.0,0.33,None,None,None,ISC,5.3,None,MW,GCMT,
16884039,2010,1,26,17,20,31.69,-39.0484,-15.738,10.0,0.71,None,None,None,ISC,5.0,None,MW,GCMT,
14280384,2010,1,26,18,35,39.44,-39.0898,-15.5156,10.0,0.75,None,None,None,ISC,5.0,None,MW,GCMT,
14280387,2010,1,27,10,46,41.38,-38.8968,-15.7254,10.0,0.76,None,None,None,ISC,4.9,None,MW,GCMT,
14280386,2010,1,27,11,20,36.27,-38.6983,-16.0109,10.0,0.37,None,None,None,ISC,5.2,None,MW,GCMT,
16112436,2010,1,27,11,36,45.69,35.0942,26.828,13.8,1.53,None,None,9.85,ISC,3.2,0.6,ML,IDC,
14280388,2010,1,27,12,31,35.85,-38.8667,-15.7065,10.0,0.29,None,None,None,ISC,5.4,None,MW,GCMT,
14280389,2010,1,27,15,47,59.21,-38.8016,-15.955,10.0,0.59,None,None,None,ISC,5.0,None,MW,GCMT,
14259737,2010,1,27,17,31,20.14,-17.723,34.7492,10.0,0.64,None,None,None,ISC,3.3,0.0,MS,IDC,
14259740,2010,1,27,17,42,45.69,-14.106,-14.4868,12.6,0.55,None,None,3.1,ISC,5.8,None,MW,GCMT,
16112458,2010,1,28,0,49,56.51,30.3614,50.3831,10.0,0.86,None,None,None,ISC,2.8,0.1,ML,IDC,
14754371,2010,1,28,2,36,11.92,34.9655,25.3084,11.6,1.01,None,None,6.77,ISC,3.1,1.0,ML,IDC,
14280406,2010,1,28,3,4,41.49,-38.6182,-16.1519,10.0,0.56,None,None,None,ISC,5.0,None,MW,GCMT,
16112465,2010,1,28,4,46,40.54,-25.0533,-13.735,14.0,0.52,None,None,None,ISC,3.8,0.1,MS,ISC,
16112468,2010,1,28,8,35,29.33,39.8869,48.6444,43.7,0.93,None,None,8.68,ISC,1.0,0.3,ML,IDC,
14754382,2010,1,28,13,5,20.04,34.9178,25.5867,5.2,1.07,None,None,7.35,ISC,3.2,0.3,MS,ISC,
17594007,2010,1,28,16,47,29.78,37.4134,20.7892,18.5,0.83,None,None,2.76,ISC,2.9,0.2,MS,IDC,
17146847,2010,1,28,20,9,40.14,-38.8937,-15.871,10.0,1.41,None,None,None,ISC,4.0,0.2,MS,ISC,
14260741,2010,1,28,23,52,31.95,-0.9448,29.1991,16.1,0.4,None,None,1.99,ISC,4.9,None,MW,GCMT,
17146854,2010,1,28,23,57,23.98,-0.5963,29.3178,10.0,2.2,None,None,None,ISC,4.0,0.3,ML,IDC,
15624568,2010,1,29,1,19,22.34,28.1897,55.5955,22.0,0.56,None,None,None,ISC,3.8,0.2,MS,IDC,
14754403,2010,1,29,3,24,13.96,36.1203,21.5703,47.9,1.15,None,None,12.4,ISC,3.0,0.3,ML,IDC,
14286191,2010,1,29,4,24,0.13,36.2152,21.6354,33.0,1.16,None,None,4.84,ISC,2.5,0.2,MS,IDC,
14754407,2010,1,29,7,44,4.64,38.3899,22.0059,5.2,0.83,None,None,6.19,ISC,3.0,0.3,ML,IDC,
14754410,2010,1,29,12,25,42.88,35.0789,26.8351,14.0,1.13,None,None,8.16,ISC,3.4,0.2,ML,IDC,
14754412,2010,1,29,12,47,43.22,38.1589,19.7138,31.2,1.21,None,None,10.3,ISC,2.7,0.2,MS,IDC,
16112552,2010,1,29,20,50,17.09,27.9601,57.8814,10.0,0.69,None,None,None,ISC,3.5,0.1,ML,IDC,
14265220,2010,1,30,7,9,30.89,39.4351,2.5209,16.2,1.32,None,None,10.0,ISC,3.8,0.3,ML,IDC,
14265943,2010,1,30,13,47,38.97,38.3348,22.3689,15.0,0.34,None,None,1.87,ISC,3.7,0.4,MS,ISC,
14673740,2010,1,30,13,50,5.46,37.286,57.456,14.0,0.77,None,None,None,ISC,3.4,0.3,MS,IDC,
14286200,2010,1,30,18,43,45.85,31.7926,56.2624,10.0,0.51,None,None,None,ISC,3.1,0.1,MS,IDC,
14297756,2010,1,30,20,21,47.03,-26.4207,27.4822,12.6,0.71,None,None,4.49,ISC,3.6,0.1,ML,IDC,
16112606,2010,1,31,0,31,13.54,34.3106,26.1777,32.0,1.14,None,None,None,ISC,3.1,0.9,ML,IDC,
14280487,2010,2,1,4,1,42.49,39.5572,37.9669,12.0,0.59,None,None,4.03,ISC,3.4,0.2,MS,ISC,
14270405,2010,2,1,22,54,38.96,28.1046,51.608,16.0,0.59,None,None,None,ISC,3.3,0.1,ML,IDC,
14270048,2010,2,2,6,45,5.68,-0.3891,-16.1083,10.0,0.53,None,None,None,ISC,3.8,0.1,MS,ISC,
16413923,2010,2,2,10,16,27.34,37.8228,46.8017,5.7,0.64,None,None,4.16,ISC,3.6,0.1,MS,ISC,
14280556,2010,2,2,13,46,23.72,37.7954,46.8633,6.8,1.09,None,None,7.81,ISC,3.0,0.1,MS,IDC,
14372356,2010,2,2,17,46,52.73,36.9265,21.6886,8.9,0.69,None,None,4.68,ISC,2.7,0.3,ML,IDC,
14754465,2010,2,3,6,38,44.31,35.0373,22.6501,8.0,1.39,None,None,8.57,ISC,3.7,0.3,ML,IDC,
14280643,2010,2,3,22,39,43.38,28.539,57.1814,19.9,0.35,None,None,1.79,ISC,3.4,0.3,MS,ISC,
14754483,2010,2,4,4,49,50.2,35.1602,27.1202,13.1,1.25,None,None,9.31,ISC,1.8,0.2,MS,IDC,
14754497,2010,2,4,14,3,42.48,35.8041,27.5286,12.9,1.1,None,None,9.05,ISC,3.1,0.2,ML,IDC,
14297845,2010,2,4,19,53,27.47,36.5697,45.0806,13.0,0.84,None,None,6.32,ISC,0.7,0.3,ML,IDC,
14280679,2010,2,4,23,42,52.81,36.1529,32.0067,98.8,0.64,None,None,6.54,ISC,2.3,0.2,MS,IDC,
14357648,2010,2,5,2,22,52.63,30.9789,50.1364,30.0,0.46,None,None,None,ISC,3.8,0.2,ML,IDC,
14280691,2010,2,5,5,57,9.75,27.7448,52.2837,15.0,0.51,None,None,None,ISC,3.0,0.1,MS,ISC,
17147382,2010,2,5,9,48,6.65,-31.6185,58.322,10.0,0.67,None,None,None,ISC,3.7,0.2,MS,IDC,
14754524,2010,2,5,13,15,28.18,34.9085,25.1248,34.0,0.93,None,None,2.29,ISC,3.5,1.0,ML,IDC,
14754535,2010,2,5,21,2,20.17,35.0663,27.2097,11.1,1.19,None,None,8.1,ISC,3.6,0.1,ML,IDC,
16112949,2010,2,5,21,22,58.87,33.9206,27.8818,35.0,0.9,None,None,None,ISC,3.0,0.1,ML,IDC,
17147465,2010,2,6,1,53,24.81,-15.8655,49.8886,10.0,0.49,None,None,None,ISC,2.9,0.4,MS,IDC,
17147473,2010,2,6,8,0,17.21,14.5028,53.753,19.0,0.66,None,None,None,ISC,3.8,0.1,MS,ISC,
14357658,2010,2,6,11,30,53.7,38.4437,21.9496,4.1,0.8,None,None,5.44,ISC,3.2,0.3,ML,IDC,
14754564,2010,2,6,17,30,37.11,35.1449,24.076,10.7,0.92,None,None,7.63,ISC,3.3,0.5,ML,IDC,
17147536,2010,2,7,1,25,30.24,-37.2844,47.8631,10.0,0.51,None,None,None,ISC,3.3,0.0,MS,IDC,
14298314,2010,2,7,2,29,21.05,-26.3581,27.4088,7.4,0.85,None,None,6.11,ISC,3.7,0.1,ML,IDC,
17147539,2010,2,7,3,13,57.95,-12.1511,-14.4753,10.0,0.57,None,None,None,ISC,3.5,0.1,MS,ISC,
14298322,2010,2,7,3,20,10.48,34.8414,-5.7165,30.0,0.75,None,None,None,ISC,3.3,0.2,ML,IDC,
14298370,2010,2,7,9,33,56.78,34.894,-5.7842,7.1,1.24,None,None,9.1,ISC,2.4,0.2,MS,IDC,
14357664,2010,2,7,10,18,18.55,38.5567,23.6572,11.4,0.76,None,None,5.1,ISC,2.8,0.2,MS,IDC,
17147573,2010,2,7,14,49,23.12,20.9426,38.2171,10.0,0.94,None,None,None,ISC,3.2,0.1,MS,ISC,
14357665,2010,2,7,15,43,48.4,20.8761,38.1073,10.0,0.92,None,None,None,ISC,3.3,0.4,MS,ISC,
14754586,2010,2,7,17,21,33.62,39.7626,30.5479,9.7,0.84,None,None,6.21,ISC,3.2,0.3,ML,IDC,
17147589,2010,2,7,18,40,8.51,28.5687,51.4962,24.0,0.9,None,None,None,ISC,3.3,0.3,ML,IDC,
14298510,2010,2,7,21,20,21.02,28.0363,54.2018,26.0,0.54,None,None,None,ISC,4.0,0.1,ML,IDC,
14298517,2010,2,7,22,23,10.07,34.871,-5.7231,24.5,0.83,None,None,5.74,ISC,3.3,0.0,ML,IDC,
14298601,2010,2,8,7,23,58.15,39.5083,16.7205,25.5,0.77,None,None,5.54,ISC,3.4,0.1,ML,IDC,
14754601,2010,2,8,10,4,31.68,34.4645,24.0239,31.3,1.2,None,None,9.73,ISC,3.6,0.2,MS,IDC,
14754603,2010,2,8,11,29,25.51,38.4129,21.9426,4.0,0.77,None,None,5.02,ISC,3.1,0.1,ML,IDC,
17147655,2010,2,8,13,57,59.76,-7.2953,30.5203,10.0,0.83,None,None,None,ISC,3.5,0.2,MS,IDC,
14298716,2010,2,8,19,6,52.36,38.6262,-15.6112,15.1,1.26,None,None,7.66,ISC,3.8,0.1,MS,ISC,
14357678,2010,2,8,21,20,56.08,28.2727,54.1985,24.0,0.46,None,None,None,ISC,2.8,0.0,MS,IDC,
17147725,2010,2,9,12,37,48.89,-36.2373,52.5294,18.0,0.63,None,None,None,ISC,3.7,0.2,MS,ISC,
14754633,2010,2,9,17,57,21.76,34.2285,26.1597,20.6,0.96,None,None,4.93,ISC,3.6,0.1,ML,IDC,
14754634,2010,2,9,18,48,0.34,35.2671,27.8254,14.6,1.19,None,None,8.04,ISC,3.2,0.3,ML,IDC,
14357683,2010,2,10,2,29,9.37,39.7679,54.3818,42.0,0.73,None,None,None,ISC,3.0,0.2,MS,IDC,
14298774,2010,2,10,4,35,50.04,36.9072,3.3298,11.8,1.05,None,None,8.27,ISC,3.2,0.2,MS,IDC,
14299338,2010,2,10,19,43,2.9,36.0882,22.3585,23.7,1.12,None,None,8.41,ISC,3.2,0.2,MS,ISC,
